Title,Company,Ratings,Reviews,Experience,Salary,Posted,Location,URL,Keywords
Hiring Business data analyst with Strong SQL Skills,Hexaware Technologies Ltd.,3.5,1667,9-13,"9,00,000 - 18,00,000 PA.",1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-hiring-business-data-analyst-with-strong-sql-skills-hexaware-technologies-ltd-bangalore-bengaluru-9-to-13-years-170721004262?src=jobsearchDesk&sid=16266119867455372&xp=1&px=1,"IT Skills,Tableau,Data Quality,Data Management,Data Profiling,Data Analysis,Data Modeling,ETL,"
Business Data Analyst,United Phosphorus Limited,4.3,850,5-7,Not disclosed,2,Mumbai,https://www.naukri.com/job-listings-business-data-analyst-upl-limited-mumbai-5-to-7-years-160721903832?src=jobsearchDesk&sid=16266119867455372&xp=2&px=1,"Data Extraction,Data Visualization,QlikView,Tableau,Data Analytics,Qliksense,Auditing,"
Business Data Analyst,NetApp,4.2,118,3-6,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-business-data-analyst-netapp-india-private-limited-bangalore-bengaluru-3-to-6-years-160721907998?src=jobsearchDesk&sid=16266119867455372&xp=3&px=1,"Data Analysis,Data Mining,Data Analyst,Business Analysis,"
"Business Data Analyst - Treasury Markets,",Luxoft,4.4,73,3-6,Not disclosed,2,Bangalore/Bengaluru,https://www.naukri.com/job-listings-business-data-analyst-treasury-markets-luxoft-bangalore-bengaluru-3-to-6-years-150721500795?src=jobsearchDesk&sid=16266119867455372&xp=5&px=1,"IT Skills,Testing,Product Management,Oracle,Tableau,Business process,Business analysis,Agile,"
Network Design & Data Analyst,Dell International Services India  Private Limited,4.0,1776,0-2,Not disclosed,13,Bangalore/Bengaluru,https://www.naukri.com/job-listings-network-design-data-analyst-dell-international-services-india-private-limited-bangalore-bengaluru-0-to-2-years-050721905359?src=jobsearchDesk&sid=16266119867455372&xp=6&px=1,"JMP,Six Sigma,SAS,Lean,SQL,Project Management,IT Skills,Data Science,"
Business & Data Analyst,M/s. orange business services,4.2,532,2-5,Not disclosed,1,Mumbai,https://www.naukri.com/job-listings-business-data-analyst-m-s-orange-business-services-mumbai-2-to-5-years-160721500265?src=jobsearchDesk&sid=16266119867455372&xp=8&px=1,"IT Skills,Python,Testing,Project Management,BPO,project management,Data analysis,Data validation,"
BI Developer / Senior Data Analyst,Brandmuscle,3.2,8,3-6,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-bi-developer-senior-data-analyst-brandmuscle-bangalore-bengaluru-3-to-6-years-160721500108?src=jobsearchDesk&sid=16266119867455372&xp=9&px=1,"IT Skills,Quality Assurance,Azure,Manager Quality Assurance,Data modeling,Business analysis,XML,Data Analyst,"
Data Analyst,COLLABERA,3.7,520,1-3,Not disclosed,1,"New Delhi, Pune, Gurgaon/Gurugram, Delhi / NCR",https://www.naukri.com/job-listings-data-analyst-collabera-technologies-private-limited-new-delhi-pune-gurgaon-gurugram-delhi-ncr-1-to-3-years-161119002766?src=jobsearchDesk&sid=16266119867455372&xp=10&px=1,"Spark,Databricks,communication,R Programming,NLP,data analysis,SQL,Python,"
Sr. Data Analyst,Tech Mahindra Ltd.,3.6,11564,3-8,Not disclosed,4,Pune,https://www.naukri.com/job-listings-sr-data-analyst-tech-mahindra-ltd-pune-3-to-8-years-140721905799?src=jobsearchDesk&sid=16266119867455372&xp=11&px=1,"requirements gathering,data migration,NO - SQL,ETL,data source gap analysis,Scala,data cleansing,data mapping,"
"Data Analyst,1",Epsilon,3.8,192,0-2,Not disclosed,3,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-1-epsilon-bangalore-bengaluru-0-to-2-years-140721500990?src=jobsearchDesk&sid=16266119867455372&xp=12&px=1,"Computer science,SAS,Business analysis,Hypothesis Testing,Marketing operations,Mathematics,Data mining,Analytics,"
Consultant - Data Analyst,Flipkart Internet Private Limited,4.2,3401,0-2,Not disclosed,12,Bangalore/Bengaluru,https://www.naukri.com/job-listings-consultant-data-analyst-flipkart-internet-private-limited-bangalore-bengaluru-0-to-2-years-060721901131?src=jobsearchDesk&sid=16266119867455372&xp=13&px=1,"Data Validation,Power Bi,MIS,Data Analysis,SQL Queries,Advanced Excel,Tableau,Dashboards,"
Assistant Vice President - MIS & Reporting ( Business Data Analyst),INTERTRUSTVITEOS CORPORATE AND FUND SERVICES PVT. LTD.,3.2,5,0-15,Not disclosed,11,"Mumbai, Bangalore/Bengaluru",https://www.naukri.com/job-listings-assistant-vice-president-mis-reporting-business-data-analyst-intertrustviteos-corporate-and-fund-services-pvt-ltd-mumbai-bangalore-bengaluru-10-to-15-years-080521002186?src=jobsearchDesk&sid=16266119867455372&xp=15&px=1,"Data Engineering,SQL Server,Data Visualization,Data Automation,Automation,Power Bi,Service Integration,Service Transition,"
Senior Data Analyst,"Liventus, Inc.",4.2,6,5-8,"10,00,000 - 20,00,000 PA.",2,Bangalore/Bengaluru(2nd Phase JP Nagar),https://www.naukri.com/job-listings-senior-data-analyst-liventus-inc-bangalore-bengaluru-5-to-8-years-240621007072?src=jobsearchDesk&sid=16266119867455372&xp=16&px=1,"Tableau,ETL Tool,SQL,IT Skills,Testing,Javascript,data analytics,Shell Scripting,"
Data Analyst,IBM India Pvt. Limited,4.0,9990,0-1,Not disclosed,1,Bangalore/Bengaluru,https://www.naukri.com/job-listings-data-analyst-ibm-india-pvt-limited-bangalore-bengaluru-0-to-1-years-160721908057?src=jobsearchDesk&sid=16266119867455372&xp=17&px=1,"IT Skills,Testing,SAP,Data Analyst, Software Development,"
"Hot Vacancies - Senior Data Analyst, Bengaluru",WSP CONSULTANTS INDIA PRIVATE LIMITED,4.1,68,5-10,Not disclosed,6,Bangalore/Bengaluru,https://www.naukri.com/job-listings-hot-vacancies-senior-data-analyst-bengaluru-wsp-consultants-india-private-limited-bangalore-bengaluru-5-to-10-years-120721003790?src=jobsearchDesk&sid=16266119867455372&xp=18&px=1,"Azure,Power Bi,SSRS,Data Analyst,SSIS,tableau,MS SQL,Data Analysis,"
